cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
84276abffffffff,1.0,0.0,0.0,0.0
84276adffffffff,5.0,0.0,0.0,0.0
84276b1ffffffff,2.0,0.0,0.0,0.0
84276b5ffffffff,2.0,0.0,0.0,0.0
84276b7ffffffff,2.0,0.0,0.0,0.0
84276bdffffffff,6.0,0.0,0.0,0.0
84276d5ffffffff,2.0,0.0,0.0,0.0
84276e5ffffffff,3.0,0.0,0.0,0.0
84276edffffffff,7.0,0.0,0.0,0.0
8427721ffffffff,10.0,0.0,0.0,0.0
842773bffffffff,1.0,0.0,0.0,0.0
8427801ffffffff,1.0,0.0,0.0,0.0
8427861ffffffff,2.0,0.0,0.0,0.0
84278b3ffffffff,1.0,0.0,0.0,0.0
84278c7ffffffff,1.0,0.0,0.0,0.0
8427905ffffffff,2.0,0.0,0.0,0.0
8427921ffffffff,4.0,0.0,0.0,0.0
8427927ffffffff,9.0,0.0,0.0,0.0
8427945ffffffff,2.0,0.0,0.0,0.0
842795bffffffff,2.0,0.0,0.0,0.0
8427969ffffffff,2.0,0.0,0.0,0.0
8427a03ffffffff,5.0,0.0,0.0,0.0
8427a85ffffffff,2.0,0.0,0.0,0.0
8427a8bffffffff,3.0,0.0,0.0,0.0
8427aa9ffffffff,1.0,0.0,0.0,0.0
8427b2bffffffff,2.0,0.0,0.0,0.0
8428021ffffffff,4.0,4.0,0.0,0.0
8428023ffffffff,33.0,1.0,0.0,0.0
842802bffffffff,17.0,0.0,0.0,0.0
8428063ffffffff,2.0,0.0,0.0,0.0
8428069ffffffff,2.0,0.0,0.0,0.0
8428109ffffffff,2.0,0.0,0.0,0.0
842811dffffffff,1.0,0.0,0.0,0.0
8428133ffffffff,3.0,0.0,0.0,0.0
8428149ffffffff,6.0,0.0,6.0,0.0
842814bffffffff,2.0,0.0,0.0,0.0
842814dffffffff,4.0,1.0,3.0,0.0
8428151ffffffff,31.0,0.0,0.0,0.0
8428153ffffffff,14.0,0.0,0.0,0.0
